companyname,url,item,flg
株式会社アイケープラスト,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/73.html,チルドコーヒー飲料用　多層容器,
株式会社アートファイネックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/154.html,RFIDリーダライタ製品・ソフト,
株式会社アイシン福井,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/087.html,自動車のパワートレイン部品（T/C）,
アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html,ゴルフ用カーボンシャフトの装飾,世界シェア1位
アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html,メガネフレームの表面処理,国内シェア1位
アイテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/053.html,無接点でのイオンプレーティング加工,国内シェア1位
青山眼鏡株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/124.html,独自開発の弾性テンプルを搭載したメガネフレーム,
株式会社アサヒオプティカル,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/125.html,眼鏡用高屈折率プラスチックレンズ,国内シェア4位
稲山織物株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/020.html,折りたたみ式サポートマット（防災マット）,
井上商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/088.html,免震エキスパンションジョイントカバー,
井上リボン工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/021.html,リボンを使った新しい日用品（リボンプロジェクト）,
岩崎工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/089.html,除雪トラック用除雪装置,国内シェア1位
ウラセ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/022.html,ポリエステル繊維染色におけるブラック深色加工,国内シェア1位
株式会社エイチアンドエフ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/090.html,自動車ボディを成形・加工するプレス機械および周辺自動化装置,
永平寺サイジング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/023.html,立体多層構造織物クッション材,
株式会社エコ・プランナー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/091.html,可動堰スクリーン取水装置（GSスクリーン）,
株式会社エコ・プランナー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/091.html,ライニング地中熱冷暖房システム,
株式会社エツミ光学,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/054.html,真空蒸着技術による携帯電話、車載、各種工業部品へのコーティング,
株式会社エヌエム,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/164.html,塗装面などのコーティングシステム「バリアクリスタル」,
株式会社NCC,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/055.html,HONDA全車種のオプションカラーエンブレム（金色、黒色）,国内シェア1位
株式会社エムエーツール,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/092.html,最小刃厚20μの高速微細加工専用超硬ソリッドメタルソー,
株式会社オーエムエンジニアリング,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/138.html,工作機械の刃具取り付け装置,
株式会社大阪合金工業所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/093.html,りん銅地金（JIS H 2501-1982）,世界シェア30％
大阪特殊合金株式会社　勝山工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/094.html,金属材料の特性を向上させる添加剤（黒鉛球状化剤など）,国内シェア1位
株式会社オーディオテクニカフクイ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/139.html,赤外線コードレスマイクロホン,国内シェア1位
小野谷機工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/095.html,全自動大型タイヤ交換機,国内シェア1位
有限会社小畑製紙所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/166.html,透かしやホログラム、ICタグを漉き込んだ和紙,
小浜製綱株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/024.html,船舶用ロープ,国内シェア5位
オフロム株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/140.html,防犯用赤外線センサ,
カイノス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/099.html,「技、響かせ 共に創る。」飲料・食品の搬送用コンベヤーシステム,
株式会社カズマ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/025.html,ジョイントパネル,
株式会社金津技研,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/142.html,微小抵抗器など精密電子部品の自動化ライン用テープ,
カワイローラ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/096.html,ベルトコンベヤ部品　キャリヤローラ,
株式会社川鋳,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/097.html,空調用の大型冷凍機の鋳物製圧力容器,国内シェア1位
株式会社KANZACC,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/143.html,車載・電子部品用めっき条,
株式会社KANZACC,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/143.html,防災用ケーブル（消防用耐火電線／耐熱電線）,
カンボウプラス株式会社 福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/056.html,広告宣伝用膜材,
カンボウプラス株式会社 福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/056.html,建築工事用シート,国内シェア1位
