companyname,url,item,flg
株式会社ギケン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/098.html,バリの発生しないハイブリッドドリル「ゼロバリ」,
ギャレックス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/026.html,学校体育衣料,国内シェア2位
清川メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/057.html,ナノ単位（１００万分の１ミリレベル）のめっき技術,
清川メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/057.html,微小部品や粉体へのめっき技術,
清川メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/057.html,半導体/MEMSセンサーデバイスへのめっき技術,
清川メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/057.html,医療機器部品への撥水めっき技術,
株式会社クナプラス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/027.html,knaplusエコバッグ,
倉茂電工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/143.html,可動部用ケーブル / 産業用通信ケーブル,
倉茂電工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/143.html,水中ポンプ用フロートスイッチ,国内シェア1位
クラレファスニング株式会社 丸岡工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/028.html,成形面ファスナー「マジロック®」,
クラレファスニング株式会社 丸岡工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/028.html,面ファスナー「マジックテープ®」,国内シェア1位
光生アルミニューム工業株式会社 福井製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/100.html,自動車用アルミホイール,
株式会社光洋 若さ工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/165.html,オンリーワンパッド　からだカーブ,
株式会社こおろぎ社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/167.html,マリンバ、木琴の製作,国内シェア2位
小杉織物株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/029.html,高密度多色柄無縫製の浴衣帯,国内シェア1位
株式会社コバード,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/101.html,手包みを超えた究極の包成機,世界シェア1位
株式会社コンベックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/126.html,スポーツ用淡色偏光サングラス,
サカイオーベックス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/030.html,中層型浮魚礁,国内シェア1位
酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html,手で切れる気泡緩衝材「ノンカッターパック」,
酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html,輸送用緩衝材「ミナスぺーサー　隙間梅太郎」,
酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html,建築・土木用　高遮熱材「ラミパックSD」,
株式会社サカイ・シルクスクリーン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/168.html,床面誘導サイン（クリーン・ポリカラー）手摺各種点字サイン（PCテンボスシート）,
株式会社サカイ・シルクスクリーン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/168.html,色褪せないステンレスホーロー製案内板サスミック・ノア（各種案内板）ノア・レリーフ（触知案内板）,
サカセ・アドテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/031.html,宇宙用構造材料,
サカセ・アドテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/031.html,建築・工業デザイン/高性能スポーツ用材料,
サカセ化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/073.html,医療用キャビネット、カート,国内シェア1位
株式会社桜川ポンプ製作所 福井事業所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/102.html,静電容量式自動運転水中ポンプ,
株式会社三景,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/32.html,衣料品の製造に欠かせない裏地の染色加工,国内シェア1位
株式会社三景,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/32.html,世界最軽量の芯地商品,
株式会社サンルックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/127.html,国産視力補正用プラスチックレンズのキャスティング,国内シェア1位
三和メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/060.html,硬質アルマイトへの着色処理,
有限会社シザーズ内山,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/170.html,理容・美容ハサミ,
株式会社シー・シー・ユー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/155.html,統合人事システム「Fellowship人事」,
株式会社jig.jp,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/156.html,携帯電話でパソコンサイトを見るソフト（jigブラウザ）,
株式会社システムラン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/157.html,手描き水彩風着色ソフト「粋彩ＰＲＯ」,
シプロ化成株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/061.html,プラスチックの製品寿命を飛躍的に延ばす紫外線吸収剤,国内シェア40％
株式会社下村漆器店,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/171.html,ニュークックチルシステム対応IH専用食器、トレー,
株式会社ジャストコーポレーション,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/76.html,レスペックケース（レンタル用DVDケース）,国内シェア1位
株式会社シャトル,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/172.html,中学校用木工教材,国内シェア1位
ジャパンポリマーク株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/062.html,自動車に表示する各種コーションラベル（注意書き）,国内シェア1位
ジャパンポリマーク株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/062.html,模倣対策熱転写ラベル,
株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html,ニッケルフリーの超弾性チタン合金「エクセレンスチタン」,国内シェア1位
株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html,チタン製メガネフレームのレーザ微細接合技術,国内シェア1位
株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html,脳外科用マイクロ剪刀,
株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html,放射線防護眼鏡 「CHARMANT RSG」,
株式会社ジャロック,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/103.html,CNCスウェージングマシンによる金属成形,
株式会社秀峰,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/104.html,環境に優しいSDGsに適したクリーンな印刷,
株式会社白崎コーポレーション,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/032.html,防草シート「チガヤシート」,
株式会社ＳＨＩＮＤＯ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/033.html,航空機部品向けノンクリンプファブリック,
株式会社ＳＨＩＮＤＯ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/033.html,"41,000点の品揃えを誇るファッションリボンS.I.C.（SHINDO ITEM CATALOG）商品",
進工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/145.html,薄膜チップ抵抗器,
スワン商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/105.html,「ｅ-Ｂｏｘ」（簡易喫煙ボックス）などのアルミ製建材製品,
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,自動車用内装材（カーシートなど）,世界シェア1位
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,「Viscotecs make your brand」ビスコテックス　メイク　ユア　ブランド,
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,ロケット用防音ブランケット,
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,ハウスラップ材「ラミテクト®」,
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,高性能消臭商品　「ＤＥＯＥＳＴ®（デオエスト）」,
セーレン株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/034.html,天然たんぱく質「ピュアセリシン™」を用いた製品,
セーレンＫＳＴ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/059.html,光通信用の部品基板（厚膜熱酸化膜付ウェーハ）,世界シェア1位
セーレン電子株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/144.html,布目曲り自動矯正装置,国内シェア1位
ゼットクリエイト株式会社 武生工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/173.html,野球用木製バット,
株式会社セルフネン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/64.html,植物資源を不燃化する技術「セルフネン」,
大八化学工業株式会社 福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/064.html,パソコンや家電製品などのプラスチック部の難燃剤,世界シェア1位
高嶋技研株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/106.html,「立体展開検査方式」を搭載したラベル検査装置,
株式会社武田機械,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/107.html,両頭フライス盤,国内シェア1位
株式会社タケダレース,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/036.html,インナーウェア用レース（商品名：フォルポレース、レーシイ・リバーレース、ラックスレース）,国内シェア1位
武生特殊鋼材株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/108.html,刃物、包丁用の異種金属複合材料（クラッド材料）,
タナカ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/174.html,各種蚊帳（かや）,国内シェア1位
株式会社田中化学研究所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/065.html,二次電池(充電式電池)用の正極材料,
株式会社田中地質コンサルタント,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/175.html,遺跡の形状保存剤,
デンヨー株式会社 福井工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/109.html,エンジン発電機,国内シェア1位
株式会社TOKO,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/110.html,アルミ折戸「イスターカーテン」,国内シェア1位
東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html,超薄地ニットの染色仕上加工,国内シェア1位
東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html,合成繊維に保湿機能を持たせる加工技術「ＳＫＩＮＤＹ」,
東洋染工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/037.html,吸水・撥水機能付快適衣料素材「アクアホール aquahole」,
常盤商事株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/111.html,未来超音波製・超音波洗浄機,
株式会社TOP,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/145.html,電動アシスト自転車用モ－タ,国内シェア1位
有限会社トップテクノ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/146.html,シートヒーター（蓄熱式ホットクッション､医療用など）,
株式会社ナカニシビジョン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/130.html,眼鏡フレームに性質の全く異なる二つの素材を採用する「二重射出成型」技術,
ナック・ケイ・エス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/075.html,道路反射鏡（カーブミラー）,国内シェア1位
ナック・ケイ・エス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/075.html,FRPプール,国内シェア3位
株式会社ナ・デックスプロダクツ　ナ・デックスレーザＲ＆Ｄセンター,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/112.html,大出力レーザ加工システム,
株式会社西村金属,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/131.html,チタンの微細精密部品加工,
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,繊維加工用フッ素フリー系撥水剤「ネオシード®NRシリーズ」,国内シェア1位
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,人工皮革用水系ウレタン樹脂「エバファノールシリーズ」,国内シェア1位
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,リネンサプライ向け液体洗剤「グリーンパルシリーズ」,
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,繊維加工用防炎剤「ニッカファイノン、ネオステッカー」シリーズ,国内シェア1位
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,ドライクリーニング用洗剤「ドライスターWP-1」,国内シェア1位
日華化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/066.html,美容室向けヘアカラー剤「アソートアリアC」,
日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html,グラビア印刷インキや磁気カードのバインダー（商品名：ソルバイン）,
日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html,壁紙のツヤ消し剤（商品名：ビニブラン）,国内シェア1位
日信化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/068.html,塗料・インクに配合されている濡れ剤（商品名：サーフィノール、オルフィン、シルフェイス）,
日東産業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/113.html,ウレタンスポンジの複雑形状切断装置,国内シェア1位
日東シンコー株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/069.html,複合電気絶縁材料,世界シェア1位
日東シンコー株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/069.html,高放熱絶縁材料,
株式会社日本エー・エム・シー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/114.html,高圧配管用継ぎ手,国内シェア1位
日本真空化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/076.html,大型トップライト（採光用 天窓）,
日本真空化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/076.html,機械部品用ナイロン特殊成形品（モノマーキャスティングナイロン）,
日本真空化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/076.html,大口径アクリルパイプ,国内シェア1位
日本真空化学株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/076.html,ガラス繊維強化アクリル樹脂製（FRA）大型浴槽,国内シェア1位
日本ダム株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/040.html,肌や着衣に優しい織ネーム「ダムソフトエッジ®」,
日本ダム株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/040.html,偽造防止織ネーム「ブランド・セキュリティ」システム®,
日本電産テクノモータ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/147.html,エアコン用ブラシレスDCモ－タ,世界シェア1位
日本電産テクノモータ株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/147.html,電動工具用ブラシレスDCモ－タ,世界シェア1位
日本マイヤー株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/041.html,シームレス・ダブルラッシェル編機,世界シェア1位
日本マイヤー株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/041.html,ジャカード・スペーサーラッシェル機,世界シェア1位
日本マイヤー株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/041.html,4Dニット・ラッシェル機,
株式会社ネスティ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/158.html,総合スポーツクラブシステム,国内シェア1位
八田経編株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/042.html,ダブルラッセルのセンターカット素材,
浜本テクニカル株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/132.html,ロー付け工程のないチタンメガネフレーム,国内シェア1位
春江電子株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/115.html,多軸ロボットを活用した自動組付装置,
日立造船株式会社 機械・インフラ事業本部 システム機械ビジネスユニット 若狭事業所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/116.html,ラッピングプレート（鋳物研磨定盤） その他特殊鋳鉄、複合素材,世界シェア1位
株式会社ビットブレイン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/162.html,SPG-Remote Medical for SYNOV-R,
株式会社廣部硬器,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/081.html,警察・消防署の紋章,国内シェア1位
株式会社廣部硬器,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/081.html,セラミックス蓄光材「セラチッコウ」,国内シェア1位
福井特殊紙株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/176.html,透かしマーク入り和紙,
福井鋲螺株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/118.html,ワイパー用　中空リベット,
福井鋲螺株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/118.html,蛍光灯ピン,世界シェア1位
株式会社福井村田製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/148.html,積層セラミックコンデンサ,世界シェア1位
株式会社福井洋傘,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/177.html,ヌレンザ（超撥水性繊維を使用した濡れない傘）,
福井窯業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/082.html,スパーブ291（平板瓦）（一体葺き回し工法、茅葺風屋根瓦工法）,世界シェア1位
株式会社フクオカラシ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/133.html,緩み止め機能付きナット（高品質精密切削加工技術）,
福伸工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/119.html,超高温環境や急速冷却状態を生み出す「多相交流アークプラズマ装置」,
福伸工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/119.html,多段式パレット水平移送３Dコンベア,
フクビ化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/078.html,アルパレージ,国内シェア1位
冨士経編株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/043.html,メディカル白衣（看護衣）,国内シェア1位
有限会社プランニングヤマコウ,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/178.html,紙管を利用した締太鼓（商品名：新打楽器ヤマコ）,
株式会社プロード,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/149.html,モニュメント型風力発電機,国内シェア1位
株式会社ベルテクス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html,HC型防火水槽・耐震性貯水槽,国内シェア1位
株式会社ベルテクス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html,無散水融雪システム,国内シェア1位
株式会社ベルテクス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/85.html,コンクリート造エレベーターシャフト,
北伸電機株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/150.html,非接触電力伝送装置,
北陸ヒーティング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/151.html,新開発絶縁材ヒーター,
株式会社北陸濾化,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/070.html,微細バリ取り剤（商品名：ホロクリン）,世界シェア1位
株式会社ホプニック研究所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/134.html,NeoContrast®（イエローライトカットレンズ）,
前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html,盛土・地盤補強用繊維構造体 ジオテキスタイル「アデム®」,
前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html,高強力繊維性落石防護柵「ネイチャーネット®」,
前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html,耐候性大型土のう「ツートンバック®」,国内シェア1位
前田工繊株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/044.html,袋型根固め工法用袋材「ボトルユニット®」,
増永眼鏡株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/135.html,形状記憶合金の直接接合技術,
株式会社松浦機械製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/120.html,5軸制御立形マシニングセンタ（MAM 72シリーズ）,
株式会社松浦機械製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/120.html,ハイブリッド金属３Ｄプリンタ（金属光造形複合加工機）,
株式会社松川レピヤン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/046.html,「超高密度織」技術を活かしたQRコード織ネーム・バーコード織ネーム,
マルイチセーリング株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/179.html,リクライニングソファのスライドフィット機能,
株式会社丸仁,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/047.html,反射材,
